Country,Year,Month,Branch,Position,Name,Status,Gender,File,CIA Updated,Created,First Name,ga_first_name,ga_gender,ga_accuracy,ga_samples
Afghanistan,2020,January,NA,Min. of Interior,Mohammad Masood ANDARABI (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Mohammad Masood,Mohammad Masood,male,99,413
Afghanistan,2020,January,NA,Min. of Justice,Abdul Basir ANWAR,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Abdul Basir,Abdul Basir,male,100,8
Afghanistan,2020,January,NA,"Min. of Martyred, Disabled, Labor, & Social Affairs",Sayed Anwar SADAT (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Sayed Anwar,Sayed Anwar,male,99,164
Afghanistan,2020,January,NA,Min. of Mines & Petroleum,Nargis NEHAN (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Nargis,Nargis,female,100,11
Afghanistan,2020,January,NA,Min. of Parliamentary Affairs,Faruq WARDAK,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Faruq,Faruq,male,75,4
Afghanistan,2020,January,NA,Min. of Public Health,Ferozuddin FEROZ,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Ferozuddin,Ferozuddin,male,100,3
Afghanistan,2020,January,NA,Min. of Refugees & Repatriation,Sayed Hussain Alemi BALKHI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Sayed Hussain Alemi,Sayed Hussain,male,99,190
Afghanistan,2020,January,NA,Min. of Rural Rehabilitation & Development,Mujib Rahman KARIMI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Mujib Rahman,Mujib Rahman,male,95,20
Afghanistan,2020,January,NA,Min. of Telecommunication & Information Technology,Fahim HASHEMI (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Fahim,Fahim,male,97,92
Afghanistan,2020,January,NA,Min. of Tourism,Ghulam Nabi FARAHI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Ghulam Nabi,Ghulam Nabi,male,100,2
Afghanistan,2020,January,NA,Min. of Transport,Yama YARI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Yama,Yama,male,100,56
Afghanistan,2020,January,NA,Min. of Urban Development,Jawad PIKAR (Acting),Acting,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Jawad,Jawad,male,100,76
Afghanistan,2020,January,NA,Min. of Women's Affairs,Dilbar NAZARI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Dilbar,Dilbar,male,56,86
Afghanistan,2020,January,NA,Attorney General,Mohammad Farid HAMIDI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Mohammad Farid,Mohammad Farid,male,99,470
Afghanistan,2020,January,NA,National Security Adviser,Hamdullah MOHIB,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Hamdullah,Hamdullah,male,100,3
Afghanistan,2020,January,NA,"Dir. Gen., National Directorate of Security",Mohammad Masoom STANEKZAI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Mohammad Masoom,Mohammad,male,98,365
Afghanistan,2020,January,NA,"Dir. Gen., Independent Directorate for Local Governance",Abdul Matin BEK,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Abdul Matin,Abdul Matin,male,100,5
Afghanistan,2020,January,NA,"Governor, Da Afghanistan Bank",NA,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,NA,Na,unknown,50,2
Afghanistan,2020,January,NA,Ambassador to the US,Roya RAHMANI,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Roya,Roya,female,86,7
Afghanistan,2020,January,NA,"Permanent Representative to the UN, New York",Adela RAZ,Titular,NA,January2020ChiefsDirectory.pdf,24-Jun-19,10/6/2021 1:05,Adela,Adela,female,100,6
Albania,2020,January,NA,Pres.,Ilir META,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Ilir,Ilir,male,97,727
Albania,2020,January,NA,Prime Min.,Edi RAMA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Edi,Edi,male,97,385
Albania,2020,January,NA,Dep. Prime Min.,Senida MESI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Senida,Senida,female,98,42
Albania,2020,January,NA,Min. of Agriculture & Rural Development,Niko PELESHI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Niko,Niko,male,97,105
Albania,2020,January,NA,Min. of Culture,Mirela KUMBARO,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Mirela,Mirela,female,97,78
Albania,2020,January,NA,Min. of Defense,Olta XHACKA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Olta,Olta,female,96,57
Albania,2020,January,NA,Min. of Diaspora,Pandeli MAJKO,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Pandeli,Pandeli,male,100,5
Albania,2020,January,NA,Min. of Economy,Milva EKONOMI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Milva,Milva,female,98,179
Albania,2020,January,NA,"Min. of Education, Sports, & Youth",Lindita NIKOLLA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Lindita,Lindita,female,96,56
Albania,2020,January,NA,Min. of Environment,Lefter KOKA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Lefter,Lefter,male,100,15
Albania,2020,January,NA,Min. for Europe & Foreign Affairs,Ditmir BUSHATI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Ditmir,Ditmir,male,100,12
Albania,2020,January,NA,Min. of Finance & Economy,Arben AHMETAJ,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Arben,Arben,male,95,586
Albania,2020,January,NA,Min. of Health & Social Welfare,Orgerta MANASTIRLIU,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Orgerta,Orgerta,female,75,4
Albania,2020,January,NA,Min. of Infrastructure & Energy,Damian GJIKNURI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Damian,Damian,male,100,5
Albania,2020,January,NA,Min. of Innovation & Public Admin.,Milena HARITO,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Milena,Milena,female,100,8
Albania,2020,January,NA,Min. of Integration,Klajda GJOSHA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Klajda,Klajda,female,75,4
Albania,2020,January,NA,Min. of Interior,Fatmir XHAFAJ,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Fatmir,Fatmir,male,96,299
Albania,2020,January,NA,Min. of Justice,Etilda GJONAJT,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Etilda,,,,
Albania,2020,January,NA,Min. of Local Govt. Affairs,Bled CUCI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Bled,Bled,male,100,25
Albania,2020,January,NA,Min. of Protection of Entrepreneurs,Sonila QATO,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Sonila,Sonila,female,100,86
Albania,2020,January,NA,Min. of Relations With Parliament,Ermonela FELAJ,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Ermonela,Ermonela,female,100,2
Albania,2020,January,NA,Min. of Tourism & Environment,Blendi KLOSI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Blendi,Blendi,male,97,91
Albania,2020,January,NA,Min. of Transport & Infrastructure,Edmond HAXHINASTO,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Edmond,Edmond,male,100,200
Albania,2020,January,NA,Min. of Urban Development,Eglantina GJERMENI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Eglantina,Eglantina,female,89,19
Albania,2020,January,NA,"Governor, Bank of Albania",Gent SEJKO,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Gent,Gent,male,98,88
Albania,2020,January,NA,Ambassador to the US,Floreta FABER,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Floreta,Floreta,female,100,2
Albania,2020,January,NA,"Permanent Representative to the UN, New York",Besiana KADARE,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Besiana,Besiana,female,100,25
Algeria,2020,January,NA,Pres.,Abdelaziz BOUTEFLIKA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Abdelaziz,Abdelaziz,male,99,335
Algeria,2020,January,NA,Prime Min.,Ahmed OUYAHIA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Ahmed,Ahmed,male,98,7102
Algeria,2020,January,NA,"Min. of Agriculture, Rural Development, & Fisheries",Abdelkader BOUAZGUI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Abdelkader,Abdelkader,male,98,1593
Algeria,2020,January,NA,Min. of Commerce,Said DJELLAB,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Said,Said,male,98,3699
Algeria,2020,January,NA,Min. of Communication,Djamel KAOUANE,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Djamel,Djamel,male,98,5273
Algeria,2020,January,NA,Min. of Culture,Azzedine MIHOUBI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Azzedine,Azzedine,male,98,625
Algeria,2020,January,NA,Min. of Energy,Mustapha GUITOUNI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Mustapha,Mustapha,male,98,2682
Algeria,2020,January,NA,Min. of Environment & Renewable Energies,Fatma Zohra ZEROUATI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Fatma Zohra,Fatma Zohra,female,96,27
Algeria,2020,January,NA,Min. of Finance,Abderrahmane RAOUIA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Abderrahmane,Abderrahmane,male,99,646
Algeria,2020,January,NA,"Min. of Health, Population, & Hospital Reform",Mokhtar HASBELLAOUI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Mokhtar,Mokhtar,male,98,893
Algeria,2020,January,NA,Min. of Higher Education & Scientific Research,Tahar HADJAR,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Tahar,Tahar,male,97,1170
Algeria,2020,January,NA,"Min. of Housing, Urban Planning, & the City",Abdelwahid TEMMARA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Abdelwahid,Abdelwahid,male,100,10
Algeria,2020,January,NA,Min. of Industry & Mines,Youcef YOUSFI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Youcef,Youcef,male,98,5049
Algeria,2020,January,NA,Min. of Interior & Local Govts.,Nouredine BEDOUI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Nouredine,Nouredine,male,99,244
Algeria,2020,January,NA,Min. of Justice & Keeper of the Seals,Tayeb LOUH,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Tayeb,Tayeb,male,98,723
Algeria,2020,January,NA,"Min. of Labor, Employment, & Social Security",Mourad ZEMALI,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Mourad,Mourad,male,98,5302
Algeria,2020,January,NA,"Dep. Min. of National Defense & Chief of Staff, People's National Army",Ahmad GAID-SALAH,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Ahmad,Ahmad,male,94,194
Algeria,2020,January,NA,Min. of National Education,Nouria BENGHEBRIT,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Nouria,Nouria,female,100,46
Algeria,2020,January,NA,"Min. of National Solidarity, Family, & Women's Affairs",Ghania EDDALIA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Ghania,Ghania,female,98,152
Algeria,2020,January,NA,"Min. of Post, Information Technologies, & Communications",Iman Houda FERAOUN,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Iman Houda,Iman Houda,female,96,1081
Algeria,2020,January,NA,Min. of Public Works & Transport,Abdelghani ZAALANE,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Abdelghani,Abdelghani,male,98,468
Algeria,2020,January,NA,Min. of Relations With the Parliament,Mahdjoub BEDDA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Mahdjoub,Mahdjoub,male,93,15
Algeria,2020,January,NA,Min. of Religious Affairs & Endowments,Mohamed AISSA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Mohamed,Mohamed,male,98,16231
Algeria,2020,January,NA,Min. of Water Resources,Hocine NECIB,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Hocine,Hocine,male,98,2412
Algeria,2020,January,NA,Ambassador to the US,Madjid BOUGUERRA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Madjid,Madjid,male,98,1236
Algeria,2020,January,NA,"Permanent Representative to the UN, New York",Sabri BOUKADOUM,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Sabri,Sabri,male,94,411
Andorra,2020,January,NA,Head of State (Co-Prince),Emmanuel MACRON,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Emmanuel,Emmanuel,male,100,2
Andorra,2020,January,NA,Head of State (Co-Prince),"Joan-Enric VIVES i SICILIA, Bishop",Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Joan-Enric  i,Joan-Enric,male,98,99
Andorra,2020,January,NA,Head of Govt.,Antoni MARTI Petit,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Antoni  Petit,Antoni Petit,male,100,9
Andorra,2020,January,NA,Min. of Civil Service & Admin. Reform,Eva DESCARREGA Garcia,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Eva  Garcia,Eva,female,100,39
Andorra,2020,January,NA,"Min. of Culture, Youth, & Sports",Olga GELABERT FABREGA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Olga,Olga,female,92,12
Andorra,2020,January,NA,Min. of Education & Higher Education,Eric JOVER COMAS,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Eric,Eric,male,100,27
Andorra,2020,January,NA,"Min. of Environment, Agriculture, & Sustainability",Silvia CALVO ARMENGOL,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Silvia,Silvia,female,100,38
Andorra,2020,January,NA,Min. of Finance,Jordi CINCA Mateos,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Jordi  Mateos,Jordi,male,99,114
Andorra,2020,January,NA,Min. of Foreign Affairs,Gilbert SABOYA Sunye,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Gilbert  Sunye,Gilbert  Sunye,male,98,10405
Andorra,2020,January,NA,Min. of Health,Carles ALVAREZ MARFANY,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Carles,Carles,male,96,23
Andorra,2020,January,NA,"Min. of Social Affairs, Justice, & Interior",Xavier ESPOT Zamora,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Xavier  Zamora,Xavier,male,100,22
Andorra,2020,January,NA,Min. of Territorial Planning,Jordi TORRES FALCO,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Jordi,Jordi,male,99,114
Andorra,2020,January,NA,Min. of Tourism & Commerce,Francesc CAMP Torres,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Francesc  Torres,Francesc,male,100,16
Andorra,2020,January,NA,Ambassador to the US,Elisenda VIVES BALMANA,Titular,NA,January2020ChiefsDirectory.pdf,N/A,10/6/2021 1:05,Elisenda,Elisenda,female,100,3
Angola,2020,January,NA,Pres.,Joao Manuel Goncalves LOURENCO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Joao Manuel Goncalves,Joao Manuel Goncalves,male,99,3114
Angola,2020,January,NA,Vice Pres.,Bornito De Sousa Baltazar DIOGO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Bornito De Sousa Baltazar,de Sousa Baltazar,male,89,124
Angola,2020,January,NA,Min. of Agriculture & Forestry,Antonio Francisco de ASSIS,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Antonio Francisco de,Antonio Francisco De,male,98,2671
Angola,2020,January,NA,Min. of Commerce,Joffre Van-Dunem JUNIOR,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Joffre Van-Dunem,Joffre Van-Dunem,male,100,8
Angola,2020,January,NA,Min. of Culture,Carolina CERQUEIRA,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Carolina,Carolina,female,96,84
Angola,2020,January,NA,Min. of the Economy & Planning,Manuel Neto da COSTA,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Manuel Neto da,Manuel Neto Da,male,99,1870
Angola,2020,January,NA,Min. of Education,Ana Paula ELIAS,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Ana Paula,Ana Paula,female,98,88
Angola,2020,January,NA,Min. of Energy & Water,Joao Baptista BORGES,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Joao Baptista,Joao Baptista,male,100,22
Angola,2020,January,NA,Min. of Environment,Paula Cristina Francisco COELHO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Paula Cristina Francisco,Paula Cristina Francisco,male,65,1789
Angola,2020,January,NA,Min. of External Relations,Manuel Domingos AUGUSTO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Manuel Domingos,Manuel Domingos,male,100,20
Angola,2020,January,NA,Min. of Family & Women Promotion,Victoria Francisco Correia CONCEICAO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Victoria Francisco Correia,Victoria Francisco Correia,male,93,1269
Angola,2020,January,NA,Min. of Finance,Vera DAVES,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Vera,Vera,female,96,70
Angola,2020,January,NA,Min. of Fisheries,Victoria Christopher Francisco Lopes de Barros NETO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Victoria Christopher Francisco Lopes de Barros,Victoria Christopher Francisco Lopes de Barros,male,93,1374
Angola,2020,January,NA,Min. of Former Combatants & Veterans of War,Joao Ernesto DOS SANTOS,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Joao Ernesto,Joao Ernesto,male,98,1528
Angola,2020,January,NA,Min. of Health,Silvia Paula Valentim LUTUCUTA,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Silvia Paula Valentim,Silvia Paula Valentim,female,93,646
Angola,2020,January,NA,Min. of Higher Education,Maria Do Rosario Braganca SAMBO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Maria Do Rosario Braganca,Maria Do Rosario,female,88,916
Angola,2020,January,NA,Min. of Hotels & Tourism,Maria Angela Teixeira De Alva Sequeira BRAGANCA,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Maria Angela Teixeira De Alva Sequeira,Maria Angela Teixeira de Sequeira,female,95,990
Angola,2020,January,NA,Min. of Industry,Bernarda Goncalves Martins Henriques DA SILVA,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Bernarda Goncalves Martins Henriques,Bernarda Goncalves Martins Henriques,male,89,203
Angola,2020,January,NA,Min. of Interior,Eugenio Cesar LABORINHO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Eugenio Cesar,Eugenio Cesar,male,100,257
Angola,2020,January,NA,Min. of Justice & Human Rights,Francisco Manuel Monteiro DE QUEIROZ,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Francisco Manuel Monteiro,Francisco Manuel Monteiro,male,99,2970
Angola,2020,January,NA,Min. of Mineral Resources and Petroleum,Diamantino Pedro AZEVEDO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Diamantino Pedro,Diamantino Pedro,male,99,1879
Angola,2020,January,NA,Min. of National Defense,Salviano de Jesus SEQUEIRA,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Salviano de Jesus,de Jesus,male,95,141
Angola,2020,January,NA,Min. of Parliamentary Affairs,Rosa Luis de Sousa MICOLO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Rosa Luis de Sousa,Rosa Luis de Sousa,male,78,1469
Angola,2020,January,NA,"Min. of Public Admin., Employment, & Social Security",Antonio Rodrigues Afonso PAULO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Antonio Rodrigues Afonso,Antonio Rodrigues Afonso,male,98,1932
Angola,2020,January,NA,Min. of Science & Technology,Maria Candida TEIXEIRA,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Maria Candida,Maria Candida,female,98,841
Angola,2020,January,NA,Min. of Social Communication,Nuno dos Anjos Caldas ALBINO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Nuno dos Anjos Caldas,Nuno Dos,male,98,422
Angola,2020,January,NA,Min. of State & Head of the Security House of the Pres. of the Republic,Pedro SEBASTIAO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Pedro,Pedro,male,99,1846
Angola,2020,January,NA,Min. of Telecommunications & Information Technology,Jose Carvalho DA ROCHA,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Jose Carvalho,Jose Carvalho,male,100,2
Angola,2020,January,NA,Min. of Territorial Admin.,Ana Paula Chantre Luna DE CARVALHO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Ana Paula Chantre Luna,Ana Paula Luna,female,98,1215
Angola,2020,January,NA,Min. of Transport,Ricardo Daniel Sandao Viegas de ABREU,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Ricardo Daniel Sandao Viegas de,Ricardo Daniel Viegas De,male,98,1246
Angola,2020,January,NA,Min. of Urbanism & Housing,Branca Manuel da Costa Neto do ESPIRITO SANTO,Titular,NA,January2020ChiefsDirectory.pdf,31-Oct-19,10/6/2021 1:05,Branca Manuel da Costa Neto do,Branca Manuel Da Costa Neto Do,male,97,1992
